#berlin-science-night(dec10):routeName,depTime,travelTime
N->E,31.504,11.347
N->E,35.508,8.343
N->E,48.991,5.34
N->E,49.458,6.007
N->E,54.264,10.212
N->E,56.6,11.413
N->E,56.934,9.411
N->E,58.535,10.145
N->SE,16.286,8.677
N->SE,16.953,11.347
N->SE,17.421,10.412
N->SE,19.022,10.345
N->SE,21.692,12.882
N->SE,21.759,12.281
N->SE,22.894,11.881
N->SE,23.027,12.548
N->SE,24.829,17.554
N->SE,26.164,10.679
N->SE,27.299,10.079
N->SE,28.233,9.011
N->SE,28.233,10.279
N->SE,28.433,9.945
N->SE,29.368,13.883
N->SE,34.107,9.745
N->SE,38.979,6.875
N->SE,39.513,7.409
N->SE,48.59,9.077
N->SE,56.133,5.139
N->SE,58.268,6.141
N->SEHELPER,26.698,10.612
N->SW,17.22,16.62
N->SW,18.088,4.939
N->SW,20.024,11.747
N->SW,20.224,12.748
N->SW,20.291,12.148
N->SW,21.892,16.953
N->SW,23.628,14.217
N->SW,24.896,13.416
N->SW,25.43,14.484
N->SW,26.965,16.753
N->SW,27.566,17.153
N->SW,29.168,11.48
N->SW,29.368,10.145
N->SW,30.436,11.013
N->SW,32.839,9.611
N->SW,32.905,10.279
N->SW,35.241,10.546
N->SW,37.778,8.343
N->SW,38.979,7.676
N->SW,39.58,7.609
N->SW,40.381,7.475
N->SW,40.781,6.741
N->SW,41.249,7.876
N->SW,42.183,7.142
N->SW,55.265,5.74
N->SWHELPER,21.158,9.211
N->SWHELPER,59.203,4.872
N->W,19.423,9.144
N->W,22.56,10.212
NE->S,16.753,8.944
NE->S,24.629,11.213
NE->SE,17.22,8.877
NE->SE,18.221,8.677
NE->SE,18.288,8.81
NE->SE,18.488,10.813
NE->SE,19.022,8.677
NE->SE,19.556,10.613
NE->SE,21.759,13.082
NE->SE,23.761,12.949
NE->SE,29.234,12.148
NE->SEHELPER,26.765,9.745
NE->SW,20.691,16.686
NW->SWHELPER,18.622,9.411
NW->SWHELPER,20.891,8.01
NW->SWHELPER,26.364,18.889
SW->E,54.13,6.007
SW->SE,28.901,4.272
SWHELPER->E,17.487,6.207
SWHELPER->E,48.657,9.144
SWHELPER->E,53.596,9.545
SWHELPER->SEHELPER,39.98,9.011
SWHELPER->SEHELPER,50.259,6.608
W->E,11.614,6.408
W->E,12.682,7.342
W->E,12.882,7.275
W->E,12.949,6.274
W->E,13.282,7.008
W->E,13.349,6.608
W->E,13.683,7.142
W->E,13.75,6.675
W->E,14.217,6.741
W->E,14.617,5.273
W->E,14.684,7.275
W->E,14.817,7.876
W->E,14.884,6.541
W->E,15.018,6.942
W->E,15.084,7.208
W->E,15.351,6.942
W->E,15.952,6.808
W->E,15.952,8.076
W->E,16.152,8.21
W->E,16.286,8.276
W->E,16.953,12.014
W->E,16.953,8.343
W->E,17.487,9.278
W->E,17.554,7.809
W->E,18.021,7.809
W->E,18.288,8.477
W->E,18.288,7.876
W->E,18.822,8.01
W->E,19.556,11.68
W->E,19.556,11.747
W->E,19.89,12.548
W->E,20.09,9.144
W->E,20.157,9.411
W->E,20.224,12.081
W->E,20.291,12.748
W->E,20.357,12.081
W->E,20.491,12.481
W->E,21.292,10.679
W->E,21.759,12.148
W->E,22.627,12.214
W->E,23.561,12.081
W->E,23.895,12.748
W->E,25.096,16.219
W->E,25.296,12.815
W->E,25.296,14.15
W->E,25.964,14.551
W->E,26.031,15.018
W->E,26.298,15.685
W->E,26.364,17.554
W->E,26.965,14.55
W->E,27.165,17.354
W->E,27.899,17.154
W->E,28.7,13.816
W->E,28.967,17.02
W->E,28.967,17.22
W->E,29.702,14.217
W->E,29.902,17.621
W->E,30.169,14.55
W->E,30.302,16.019
W->E,30.569,15.885
W->E,30.636,16.286
W->E,31.103,17.354
W->E,31.103,13.749
W->E,31.303,15.418
W->E,31.437,16.62
W->E,31.771,12.014
W->E,32.038,18.088
W->E,32.371,18.488
W->E,32.772,16.219
W->E,33.239,17.621
W->E,33.64,15.752
W->E,33.64,16.486
W->E,33.84,15.485
W->E,34.374,18.288
W->E,36.176,13.749
W->E,37.11,14.951
W->E,37.711,14.284
W->E,37.778,14.217
W->E,37.778,13.95
W->E,38.045,15.618
W->E,38.512,14.217
W->E,38.579,13.95
W->E,39.713,14.817
W->E,40.114,13.416
W->E,40.114,13.349
W->E,40.581,13.282
W->E,40.648,13.082
W->E,40.982,12.882
W->E,41.649,16.486
W->E,41.782,12.748
W->E,43.318,12.615
W->E,43.318,12.548
W->E,43.718,13.149
W->E,44.052,13.149
W->E,44.853,13.95
W->E,44.92,12.281
W->E,45.387,11.68
W->E,46.388,13.149
W->E,46.455,11.814
W->E,46.855,13.616
W->E,47.322,12.214
W->E,47.322,12.682
W->E,47.389,13.616
W->E,47.523,13.282
W->E,48.59,13.149
W->E,48.924,13.082
W->E,49.258,11.947
W->E,49.325,12.214
W->E,50.86,11.947
W->E,51.594,13.082
W->E,52.595,13.082
W->E,53.396,8.076
W->E,53.863,13.883
W->E,54.197,12.415
W->E,54.331,12.615
W->E,54.664,12.214
W->E,55.732,13.349
W->E,55.866,13.216
W->SE,24.362,9.411
W->SE,24.362,8.01
W->SE,50.393,10.612
W->SEHELPER,23.962,8.677
W->SEHELPER,24.963,15.418
W->SEHELPER,29.568,16.753
W->SEHELPER,36.376,15.285
W->SEHELPER,41.716,12.281
W->SW,21.158,3.404
