#routeName,depTime,travelTime
W->E,0,6.1444
W->E,0,6.1444
W->E,0,6.554
W->E,0.20481,6.7588
W->E,0.20481,6.7588
W->E,0.20481,6.9637
W->E,0.81925,6.3492
W->E,1.2289,6.1444
W->E,1.2289,6.7588
W->E,1.4337,7.1685
W->E,1.4337,7.1685
W->E,2.0481,6.7588
W->E,2.2529,7.3733
W->E,2.2529,7.3733
W->E,2.2529,7.5781
W->E,2.4578,7.7829
W->E,2.8674,7.3733
W->E,3.0722,7.3733
W->E,3.0722,8.1925
W->E,3.0722,8.1925
W->E,3.4818,7.7829
W->E,4.0963,7.5781
W->E,4.0963,7.5781
W->E,4.0963,7.5781
W->E,4.9155,7.3733
W->E,4.9155,7.5781
W->E,4.9155,7.9877
W->E,5.3252,7.5781
W->E,5.3252,7.5781
W->E,5.3252,8.3974
W->E,5.9396,7.9877
W->E,6.3492,7.5781
W->E,6.554,7.9877
W->E,6.554,7.9877
W->E,6.7588,7.9877
W->E,6.7588,7.9877
W->E,7.3733,8.1925
W->E,7.5781,7.9877
W->E,7.7829,7.7829
W->E,7.7829,7.7829
W->E,8.1925,7.9877
W->E,8.3974,7.7829
W->E,8.6022,7.9877
W->E,8.6022,7.9877
W->E,8.6022,9.0118
W->E,8.807,8.807
W->E,9.0118,8.807
W->E,9.0118,8.807
W->E,9.2166,9.2166
W->E,9.2166,9.2166
W->E,9.831,9.2166
W->E,9.831,9.2166
W->E,9.831,9.2166
W->E,10.241,9.831
W->E,10.855,9.2166
W->E,10.855,9.4214
W->E,11.265,9.6262
W->E,11.47,9.4214
W->E,11.674,9.4214
W->E,11.674,9.4214
W->E,11.879,9.831
W->E,12.494,9.2166
W->E,12.494,9.6262
W->E,12.903,9.6262
W->E,12.903,9.6262
W->E,12.903,10.036
W->E,13.723,9.831
W->E,13.723,9.831
W->E,13.723,10.241
W->E,14.747,9.831
W->E,14.951,9.6262
W->E,14.951,9.6262
W->E,15.566,9.6262
W->E,15.975,9.2166
W->E,15.975,9.6262
W->E,16.18,9.831
W->E,16.385,9.6262
W->E,16.795,9.2166
W->E,16.795,9.831
W->E,17.204,9.4214
W->E,18.024,9.4214
W->E,19.252,9.4214
W->E,19.252,9.4214
W->E,19.662,9.0118
W->E,20.072,9.5904
W->E,21.505,9.4214
W->E,21.505,9.4214
