#routeName, zoneSequence
NW->SWHELPER, ZNW-ZNWGATE-ZCENTER-ZSWHELPERGATE-ZSWHELPER
N->W, ZN-ZNGATE-ZCENTER-ZWGATE-ZW
N->E, ZN-ZNGATE-ZCENTER-ZEGATE-ZE
N->SWHELPER, ZN-ZNGATE-ZCENTER-ZSWHELPERGATE-ZSWHELPER
N->SW, ZN-ZNGATE-ZCENTER-ZSWGATE-ZSW
N->SE, ZN-ZNGATE-ZCENTER-ZSEGATE-ZSE
N->SEHELPER, ZN-ZNGATE-ZCENTER-ZSEHELPERGATE-ZSEHELPER
NE->SW, ZNE-ZNEGATE-ZCENTER-ZSWGATE-ZSW
NE->S, ZNE-ZNEGATE-ZCENTER-ZSGATE-ZS
NE->SE, ZNE-ZNEGATE-ZCENTER-ZSEGATE-ZSE
NE->SEHELPER, ZNE-ZNEGATE-ZCENTER-ZSEHELPERGATE-ZSEHELPER
W->E, ZW-ZWGATE-ZCENTER-ZEGATE-ZE
W->SE, ZW-ZWGATE-ZCENTER-ZSEGATE-ZSE
W->SEHELPER, ZW-ZWGATE-ZCENTER-ZSEHELPERGATE-ZSEHELPER
W->SW, ZW-ZWGATE-ZCENTER-ZSWGATE-ZSW
SWHELPER->E, ZSWHELPER-ZSWHELPERGATE-ZCENTER-ZEGATE-ZE
SWHELPER->SEHELPER, ZSWHELPER-ZSWHELPERGATE-ZCENTER-ZSEHELPERGATE-ZSEHELPER
SW->SE, ZSW-ZSWGATE-ZCENTER-ZSEGATE-ZSE
SW->E, ZSW-ZSWGATE-ZCENTER-ZEGATE-ZE
